Occupation,Skills,English Level,Location Preference,Course Chosen
Mechanical Engineer,"['Mechanical Design', 'SolidWorks', 'Fluid Dynamics']",Intermediate,South Australia,Bachelor of Mechanical Engineering
Accountant,"['Budgeting', 'Auditing', 'Taxation', 'Payroll']",Advanced,Regional Australia,Bachelor of Accounting
Early Childhood Teacher,"['Curriculum Development', 'Childcare', 'Lesson Planning']",Fluent,Western Australia,Graduate Diploma in Early Childhood
Architect,"['Construction Management', 'Building Design']",Fluent,New South Wales,Master of Architecture
Civil Engineer,"['Project Management', 'Structural Analysis', 'AutoCAD']",Fluent,New South Wales,Bachelor of Civil Engineering
Data Analyst,"['Statistics', 'SQL', 'Data Visualization', 'R']",Intermediate,ACT,Graduate Diploma in Data Science
Graphic Designer,"['Adobe Photoshop', 'InDesign', 'UI/UX Design']",Basic,New South Wales,Bachelor of Graphic Design
Data Analyst,"['SQL', 'R']",Advanced,ACT,Graduate Diploma in Data Science
Electrical Engineer,"['Circuit Design', 'Power Systems']",Advanced,Tasmania,Bachelor of Electrical Engineering
Teacher,"['Classroom Management', 'Lesson Planning', 'Curriculum Development']",Advanced,Victoria,Bachelor of Education
Mechanical Engineer,"['Thermodynamics', 'Fluid Dynamics', 'SolidWorks', 'Mechanical Design']",Basic,Tasmania,Bachelor of Mechanical Engineering
Marketing Specialist,"['Digital Marketing', 'Content Creation', 'SEO']",Fluent,Queensland,Bachelor of Marketing
Registered Nurse,"['Patient Care', 'Emergency Response', 'Clinical Assessment']",Intermediate,Regional Australia,Bachelor of Nursing
Software Engineer,"['Machine Learning', 'C++']",Intermediate,Tasmania,Master of Computer Science
Early Childhood Teacher,"['Childcare', 'Lesson Planning']",Fluent,Tasmania,Graduate Diploma in Early Childhood
Early Childhood Teacher,"['Lesson Planning', 'Childcare', 'Curriculum Development']",Fluent,South Australia,Graduate Diploma in Early Childhood
Early Childhood Teacher,"['Curriculum Development', 'Lesson Planning', 'Childcare']",Intermediate,Tasmania,Graduate Diploma in Early Childhood
Mechanical Engineer,"['SolidWorks', 'Thermodynamics', 'Fluid Dynamics', 'Mechanical Design']",Advanced,ACT,Bachelor of Mechanical Engineering
Mechanical Engineer,"['Fluid Dynamics', 'Mechanical Design']",Fluent,Northern Territory,Bachelor of Mechanical Engineering
Project Manager,"['Project Planning', 'Team Management', 'Scrum']",Basic,Northern Territory,Master of Project Management
Mechanical Engineer,"['Thermodynamics', 'Fluid Dynamics', 'Mechanical Design']",Advanced,Western Australia,Bachelor of Mechanical Engineering
Graphic Designer,"['InDesign', 'UI/UX Design', 'Adobe Photoshop', 'Illustrator']",Advanced,Western Australia,Bachelor of Graphic Design
Graphic Designer,"['Illustrator', 'Adobe Photoshop', 'InDesign', 'UI/UX Design']",Fluent,Western Australia,Bachelor of Graphic Design
ICT Business Analyst,"['Systems Analysis', 'SQL', 'Agile Methodologies']",Intermediate,Victoria,Master of Business Analytics
Teacher,"['Curriculum Development', 'Classroom Management']",Advanced,Queensland,Bachelor of Education
Software Engineer,"['Java', 'AWS', 'Python']",Advanced,Queensland,Master of Computer Science
Data Analyst,"['SQL', 'Python']",Fluent,Regional Australia,Graduate Diploma in Data Science
Teacher,"['Lesson Planning', 'Classroom Management', 'Curriculum Development']",Advanced,Victoria,Bachelor of Education
Mechanical Engineer,"['SolidWorks', 'Thermodynamics', 'Mechanical Design']",Intermediate,New South Wales,Bachelor of Mechanical Engineering
Graphic Designer,"['Illustrator', 'InDesign', 'UI/UX Design']",Basic,New South Wales,Bachelor of Graphic Design
ICT Business Analyst,"['Systems Analysis', 'SQL', 'Business Process Modeling', 'Agile Methodologies']",Fluent,Western Australia,Master of Business Analytics
Architect,"['AutoCAD', '3D Modeling', 'Construction Management']",Intermediate,Tasmania,Master of Architecture
Teacher,"['Lesson Planning', 'Classroom Management']",Basic,South Australia,Bachelor of Education
Graphic Designer,"['Adobe Photoshop', 'InDesign']",Basic,Western Australia,Bachelor of Graphic Design
Project Manager,"['Risk Management', 'Project Planning']",Intermediate,Regional Australia,Master of Project Management
Project Manager,"['Team Management', 'Risk Management']",Basic,ACT,Master of Project Management
Registered Nurse,"['Patient Care', 'Emergency Response', 'Clinical Assessment']",Intermediate,Western Australia,Bachelor of Nursing
Network Administrator,"['Network Security', 'Cloud Computing', 'Troubleshooting', 'Cisco Routers']",Fluent,Tasmania,Graduate Diploma in Network Security
Electrical Engineer,"['Embedded Systems', 'Power Systems', 'Circuit Design']",Fluent,Regional Australia,Bachelor of Electrical Engineering
Early Childhood Teacher,"['Childcare', 'Curriculum Development']",Basic,South Australia,Graduate Diploma in Early Childhood
Early Childhood Teacher,"['Childcare', 'Curriculum Development', 'Lesson Planning']",Advanced,Regional Australia,Graduate Diploma in Early Childhood
Network Administrator,"['Network Security', 'Cisco Routers', 'Troubleshooting']",Advanced,Northern Territory,Graduate Diploma in Network Security
Graphic Designer,"['UI/UX Design', 'InDesign', 'Adobe Photoshop', 'Illustrator']",Fluent,South Australia,Bachelor of Graphic Design
Electrical Engineer,"['Power Systems', 'Matlab', 'Embedded Systems']",Advanced,Victoria,Bachelor of Electrical Engineering
Network Administrator,"['Cloud Computing', 'Cisco Routers', 'Network Security', 'Troubleshooting']",Advanced,New South Wales,Graduate Diploma in Network Security
ICT Business Analyst,"['Systems Analysis', 'SQL', 'Agile Methodologies']",Intermediate,Victoria,Master of Business Analytics
Mechanical Engineer,"['Fluid Dynamics', 'SolidWorks', 'Mechanical Design', 'Thermodynamics']",Fluent,Tasmania,Bachelor of Mechanical Engineering
Electrical Engineer,"['Circuit Design', 'Power Systems', 'Embedded Systems', 'Matlab']",Basic,Western Australia,Bachelor of Electrical Engineering
ICT Business Analyst,"['Business Process Modeling', 'Agile Methodologies']",Fluent,Western Australia,Master of Business Analytics
Accountant,"['Payroll', 'Financial Reporting']",Advanced,Northern Territory,Bachelor of Accounting
ICT Business Analyst,"['Systems Analysis', 'Agile Methodologies', 'SQL', 'Business Process Modeling']",Advanced,Western Australia,Master of Business Analytics
Accountant,"['Payroll', 'Auditing', 'Taxation', 'Budgeting']",Fluent,Tasmania,Bachelor of Accounting
Data Analyst,"['SQL', 'R', 'Data Visualization']",Advanced,Northern Territory,Graduate Diploma in Data Science
